STAID, SOUID,    DATE,   TN, Q_TN
   274,   921,18161014,   50,    0
   274,   921,18161015,   83,    0
   274,   921,18161016,   78,    0
   274,   921,18161017,   61,    0
   274,   921,18161018,   61,    0
   274,   921,18161019,   22,    0
   274,   921,18161020,   56,    0
   274,   921,18161021,   28,    0
   274,   921,18161022,   44,    0
   274,   921,18161023,   -6,    0
   274,   921,18161024,   67,    0
   274,   921,18161025,   28,    0
   274,   921,18161026,   22,    0
   274,   921,18161027,   28,    0
   274,   921,18161028,   67,    0
   274,   921,18161029,   89,    0
   274,   921,18161030,   56,    0
   274,   921,18161031,   61,    0
   274,   921,18161101,   17,    0
   274,   921,18161102,    0,    0
   274,   921,18161103,   28,    0
   274,   921,18161104,   17,    0
   274,   921,18161105,   56,    0
   274,   921,18161106,   67,    1
   274,   921,18161107,    6,    0
   274,   921,18161108,  -50,    0
   274,   921,18161109,    0,    0
   274,   921,18161110,    0,    0
   274,   921,18161111,  -67,    0
   274,   921,18161112,    6,    0
   274,   921,18161113,   33,    0
   274,   921,18161114,   39,    1
   274,   921,18161115,  -33,    0
   274,   921,18161116,  -33,    0
   274,   921,18161117,  -39,    0
   274,   921,18161118,    6,    0
   274,   921,18161119,    6,    0
   274,   921,18161120,   44,    0
   274,   921,18161121,   50,    1
   274,   921,18161122,    0,    0
   274,   921,18161123,  -50,    0
   274,   921,18161124,  -89,    0
   274,   921,18161125,  -56,    0
   274,   921,18161126,   11,    0
   274,   921,18161127,   -6,    0
   274,   921,18161128,   39,    0
   274,   921,18161129,  -11,    0
   274,   921,18161130,  -11,    0
   274,   921,18161201,   -6,    0
   274,   921,18161202,  -39,    0
   274,   921,18161203,    0,    0
   274,   921,18161204,   28,    0
   274,   921,18161205,   28,    0
   274,   921,18161206,   17,    0
   274,   921,18161207,  -11,    0
   274,   921,18161208,   -6,    0
   274,   921,18161209,  -17,    0
   274,   921,18161210,    0,    0
   274,   921,18161211,   17,    0
   274,   921,18161212,  -11,    0
   274,   921,18161213,    6,    0
   274,   921,18161214,    0,    0
   274,   921,18161215,    0,    0
   274,   921,18161216,  -11,    0
   274,   921,18161217,   17,    0
   274,   921,18161218,   17,    0
   274,   921,18161219,    0,    0
   274,   921,18161220,  -44,    0
   274,   921,18161221,  -72,    0
   274,   921,18161222, -100,    0
   274,   921,18161223,  -22,    0
   274,   921,18161224,   33,    0
   274,   921,18161225,    0,    0
   274,   921,18161226,   22,    0
   274,   921,18161227,   11,    0
   274,   921,18161228,   -6,    0
   274,   921,18161229,   22,    0
   274,   921,18161230,  -11,    0
   274,   921,18161231,   28,    0
   274,   921,18170101,   39,    0
   274,   921,18170102,   33,    0
   274,   921,18170103,    0,    0
   274,   921,18170104,   11,    0
   274,   921,18170105,   28,    0
   274,   921,18170106,   28,    0
   274,   921,18170107,   22,    0
   274,   921,18170108,  -50,    0
   274,   921,18170109,  -44,    0
   274,   921,18170110,  -44,    0
   274,   921,18170111,  -44,    0
   274,   921,18170112,  -28,    0
   274,   921,18170113,  -17,    0
   274,   921,18170114,  -22,    0
   274,   921,18170115,  -22,    0
   274,   921,18170116,  -56,    0
   274,   921,18170117,  -11,    0
   274,   921,18170118,    0,    0
   274,   921,18170119,   28,    0
   274,   921,18170120,   50,    0
   274,   921,18170121,    0,    0
   274,   921,18170122,    6,    0
   274,   921,18170123,   67,    0
   274,   921,18170124,   72,    0
   274,   921,18170125,   78,    0
   274,   921,18170126,   67,    0
   274,   921,18170127,   67,    1
   274,   921,18170128,   11,    0
   274,   921,18170129,   39,    0
   274,   921,18170130,   39,    0
   274,   921,18170131,   50,    0
   274,   921,18170201,   44,    0
   274,   921,18170202,   33,    0
   274,   921,18170203,   11,    0
   274,   921,18170204,   28,    0
   274,   921,18170205,   22,    0
   274,   921,18170206,   44,    0
   274,   921,18170207,   56,    0
   274,   921,18170208,   56,    0
   274,   921,18170209,   61,    0
   274,   921,18170210,   50,    1
   274,   921,18170211,   -6,    0
   274,   921,18170212,  -11,    0
   274,   921,18170213,   11,    0
   274,   921,18170214,   39,    0
   274,   921,18170215,   22,    0
   274,   921,18170216,   28,    0
   274,   921,18170217,   39,    0
   274,   921,18170218,   67,    0
   274,   921,18170219,   22,    0
   274,   921,18170220,  -11,    0
   274,   921,18170221,   39,    0
   274,   921,18170222,   11,    0
   274,   921,18170223,   17,    0
   274,   921,18170224,   44,    0
   274,   921,18170225,   44,    0
   274,   921,18170226,   44,    0
   274,   921,18170227,   56,    0
   274,   921,18170228,   44,    0
   274,   921,18170301,   61,    0
   274,   921,18170302,   22,    0
   274,   921,18170303,    6,    0
   274,   921,18170304,   17,    0
   274,   921,18170305,    0,    0
   274,   921,18170306,    0,    0
